Relative RSL,Value RSL,Relative SB3,Value SB3
0,-0.620391845703125,0,-0.601641118526459
6.55976104736328,-0.605869472026825,6.88562393188477,-0.602491974830627
13.1193559169769,-0.592525482177734,13.6270816326141,-0.585005939006805
20.0100083351135,-0.577264189720154,20.803923368454,-0.607793986797333
26.4858348369598,-0.565497100353241,27.5398375988007,-0.615191996097565
32.2651965618134,-0.545785784721375,34.143328666687,-0.620297908782959
38.5661175251007,-0.531607866287231,40.8050401210785,-0.62491899728775
45.3557834625244,-0.519020259380341,47.3240389823914,-0.604173004627228
51.3028841018677,-0.509854972362518,53.9056515693665,-0.608322083950043
57.5452013015747,-0.506383121013641,61.1892428398132,-0.569808065891266
64.5629425048828,-0.49994820356369,67.9615156650543,-0.626239955425262
71.3528881072998,-0.495998024940491,74.6862754821777,-0.53635311126709
78.2503073215485,-0.492693692445755,81.5152704715729,-0.573621988296509
84.8400242328644,-0.490770787000656,87.9475617408752,-0.594721019268036
91.2819876670837,-0.488518983125687,94.52592420578,-0.545672953128815
97.6633305549622,-0.489518105983734,101.341359376907,-0.571871936321259
104.339678287506,-0.490703672170639,107.738130807877,-0.555572032928467
110.316828966141,-0.490642368793488,114.289202213287,-0.530163884162903
116.681149244308,-0.489555269479752,120.981273174286,-0.548126995563507
123.475226402283,-0.48954039812088,127.309521436691,-0.5122030377388
130.209324836731,-0.493427187204361,134.022770643234,-0.513142943382263
137.153620481491,-0.492226243019104,141.315407276154,-0.507032990455627
143.690583229065,-0.491546243429184,147.773158073425,-0.482092022895813
149.483823537827,-0.491326093673706,154.955278396606,-0.488162994384766
155.063372850418,-0.490139216184616,161.649587631226,-0.499519944190979
161.05533862114,-0.490160048007965,168.998495340347,-0.481299936771393
167.55205488205,-0.490183055400848,175.713247060776,-0.499848902225494
173.97567486763,-0.489209681749344,182.209020853043,-0.493811160326004
181.360202789307,-0.491467446088791,188.70148229599,-0.478602945804596
188.461488008499,-0.491733938455582,195.755247592926,-0.493030965328217
195.428047895432,-0.488091200590134,201.844949960709,-0.48490697145462
202.437493801117,-0.491344213485718,208.489235162735,-0.488566935062408
209.360429048538,-0.488622784614563,215.015467166901,-0.49235013127327
216.493093729019,-0.490795195102692,222.216900348663,-0.492014050483704
222.777690649033,-0.488683521747589,229.257077693939,-0.466364026069641
229.211184501648,-0.487430691719055,235.922127962112,-0.492557972669601
235.226788282394,-0.488285750150681,242.817210674286,-0.480722993612289
241.657093286514,-0.493237137794495,249.284734725952,-0.475871086120606
247.416413068771,-0.491704493761063,255.9908015728,-0.477402985095978
254.15869307518,-0.49373859167099,,
